userId,gender,age_group,recommendations,all_movies_rec
1,Male,Young (21-40 years),[],[]
4,Male,Young (21-40 years),"[56, 144, 174, 195, 64, 302, 22, 79, 82]","['Pulp Fiction (1994)', 'Die Hard (1988)', 'Raiders of the Lost Ark (1981)', 'The Terminator (1984)', 'The Matrix (1999)', 'The Shawshank Redemption (1994)', 'L.A. Confidential (1997)', 'Braveheart (1995)', 'The Fugitive (1993)', 'Jurassic Park (1993)']"
7,Male,Adult (41-60 years),[],[]
12,Female,Young (21-40 years),[],[]
20,Female,Adult (41-60 years),"[64, 210, 550, 98, 28, 22, 1127]","['""The Shawshank Redemption"" (1994)', '""Indiana Jones and the Last Crusade"" (1989)', '""The Fugitive"" (1993)', '""Die Hard with a Vengeance"" (1995)', '""The Silence of the Lambs"" (1991)', '""Apollo 13"" (1995)', '""Braveheart"" (1995)', '""The Truman Show"" (1998)', '""Gladiator"" (2000)', '""The Green Mile"" (1999)']"
22,Male,Young (21-40 years),"[204, 550, 257, 173, 96, 265, 186]","['Back to the Future (1985)', 'Ghostbusters (1984)', 'Die Hard with a Vengeance (1995)', 'Men in Black (1997)', 'Indiana Jones and the Temple of Doom (1984)', 'The Princess Bride (1987)', 'The Terminator 2: Judgment Day (1991)', 'Airplane! (1980)', 'The Hunt for Red October (1990)', 'The Blues Brothers (1980)']"
26,Male,Adult (41-60 years),"[56, 69, 64, 272, 98, 82, 1127, 22]","['Pulp Fiction (1994)', 'Forrest Gump (1994)', 'The Shawshank Redemption (1994)', 'The Matrix (1999)', 'Good Will Hunting (1997)', 'The Silence of the Lambs (1991)', 'Jurassic Park (1993)', 'The Truman Show (1998)', 'Braveheart (1995)', 'Fight Club (1999)']"
28,Male,Young (21-40 years),"[195, 204, 82, 200, 144, 173, 176]","['The Terminator (1984)', 'Ghostbusters (1984)', 'Back to the Future (1985)', 'Jurassic Park (1993)', 'The Shining (1980)', 'Die Hard (1988)', 'Beetlejuice (1988)', 'The Princess Bride (1987)', 'Aliens (1986)', 'It offers intense action and suspense, making it a great choice for the user.', 'The Lost Boys (1987)']"
31,Male,Young (21-40 years),"[483, 64, 318, 127, 56, 644, 1127, 48]","[""We will also take into account the user's ratings for the movies they have already watched. Here are the recommendations:"", 'Casablanca (1942)', 'The Shawshank Redemption (1994)', ""Schindler's List (1993)"", 'The Godfather (1972)', 'Pulp Fiction (1994)', 'The Social Network (2010)', 'The Thin Blue Line (1988)', 'Eternal Sunshine of the Spotless Mind (2004)', 'The Truman Show (1998)', 'Hoop Dreams (1994)']"
33,Male,Young (21-40 years),"[64, 56, 1278, 98, 1362, 12, 475]","['Step 2: Filter movies based on preferred genres and years:', 'Step 3: Calculate the average ratings for each movie:', 'The Shawshank Redemption (1994)', 'Pulp Fiction (1994)', 'Se7en (1995)', 'The Silence of the Lambs (1991)', 'Fight Club (1999)', 'The Sixth Sense (1999)', 'American History X (1998)', 'The Usual Suspects (1995)', 'The Blair Witch Project (1999)', 'Trainspotting (1996)']"
45,Male,Young (21-40 years),"[69, 64, 56, 272, 202, 1127, 902, 71, 173, 204]","['""Forrest Gump (1994)', '""The Shawshank Redemption (1994)', '""Pulp Fiction (1994)', '""Good Will Hunting (1997)', '""Groundhog Day (1993)', '""The Truman Show (1998)', '""The Big Lebowski (1998)', '""The Lion King (1994)', '""The Princess Bride (1987)', '""Back to the Future (1985)']"
47,Male,Adult (41-60 years),[],"['Step 2: Filter movies based on preferred genres and years:', 'Step 3: Calculate the average ratings for each movie:', '5/5) to ensure that the recommended movies are generally well-received.']"
49,Female,Young (21-40 years),[],[]
59,Male,Adult (41-60 years),[],[]
61,Male,Young (21-40 years),"[302, 257, 272, 250, 316, 298, 1127, 270, 249]","['""L.A. Confidential (1997)', '""Men in Black (1997)', '""Good Will Hunting (1997)', '""The Fifth Element (1997)', '""As Good as It Gets (1997)', '""Face/Off (1997)', '""The Truman Show (1998)', '""Gattaca (1997)', '""The Game (1997)', '""Austin Powers: International Man of Mystery (1997)']"
67,Male,Teenager (0-20 years),"[64, 405, 1067, 240, 24, 25, 743, 472, 123]","['Step 2: Filter movies based on preferred genres and years:', 'The Shawshank Redemption (1994)', 'Mission: Impossible (1996)', 'The Rock (1996)', 'Beavis and Butt-head Do America (1996)', 'Independence Day', 'Rumble in the Bronx (1995)', 'Birdcage, The (1996)', 'Crow: City of Angels, The (1996)', 'Dragonheart (1996)', 'Frighteners, The (1996)']"
