userId,gender,age_group,recommendations,all_movies_rec
26,Male,Adult (41-60 years),"[56, 69, 64, 272]","['""Pulp Fiction"" (1994)', '""Forrest Gump"" (1994)', '""The Shawshank Redemption"" (1994)', '""Good Will Hunting"" (1997)', '""The Matrix"" (1999)']"
31,Male,Young (21-40 years),"[483, 318, 644, 48]","[""We will also take into account the user's ratings for the movies they have already watched. Here are the recommendations:"", '""Casablanca"" (1942)', '""Schindler\'s List"" (1993)', '""The Thin Blue Line"" (1988)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""Hoop Dreams"" (1994)']"
33,Male,Young (21-40 years),"[302, 98, 1278]","['Step 2: Filter movies based on preferred genres and years:', 'Step 3: Calculate the average ratings for each movie:', 'L.A. Confidential (1997)', 'The Sixth Sense (1999)', 'The Silence of the Lambs (1991)', 'Se7en (1995)', 'The Blair Witch Project (1999)']"
91,Male,Adult (41-60 years),"[64, 82, 1050, 294, 50]","['The Shawshank Redemption (1994)', 'Jurassic Park (1993)', 'Ghost and Mrs. Muir, The (1947)', 'Liar Liar (1997)', 'Star Wars (1977)']"
97,Male,Adult (41-60 years),"[204, 173, 423, 64]","['""Back to the Future"" (1985)', '""The Princess Bride"" (1987)', '""E.T. the Extra-Terrestrial"" (1982)', '""The Shawshank Redemption"" (1994)', '""The Matrix"" (1999)']"
106,Male,Adult (41-60 years),"[483, 64, 286, 275, 86]","[""We will also take into account the user's ratings for the movies they have already watched. Here are the recommendations:"", '""Casablanca"" (1942)', '""The Shawshank Redemption"" (1994)', '""The English Patient"" (1996)', '""Sense and Sensibility"" (1995)', '""The Remains of the Day"" (1993)']"
116,Male,Young (21-40 years),"[483, 514, 69, 64, 202]","['Step 2: Calculate average ratings for the filtered movies', '""Casablanca (1942)', '""Annie Hall (1977)', 'It is directed by Woody Allen and has a high average rating. It is known for its witty dialogue and exploration of relationships.', '""Forrest Gump (1994)', '""The Shawshank Redemption (1994)', 'It has a high average rating and is often regarded as one of the greatest films ever made. The movie explores themes of hope, friendship, and redemption.', '""Groundhog Day (1993)', 'It combines elements of romance and fantasy and has a high average rating. The movie follows a man who finds himself trapped in a time loop, reliving the same day over and over again.']"
144,Male,Adult (41-60 years),[],[]
231,Male,Adult (41-60 years),"[64, 313, 69, 82]","['""The Shawshank Redemption"" (1994)', '""Titanic"" (1997)', '""The Fugitive"" (1993)', '""Forrest Gump"" (1994)', '""Jurassic Park"" (1993)', ""They also consider the user's ratings for previously watched movies. By selecting movies that have a broad appeal and avoiding any bias towards the user's age group, we aim to provide fair recommendations that align with the user's interests.""]"
253,Female,Young (21-40 years),"[69, 1127, 56, 64]","['""Forrest Gump"" (1994)', '""The Truman Show"" (1998)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""Pulp Fiction"" (1994)', '""The Shawshank Redemption"" (1994)']"
284,Male,Young (21-40 years),"[315, 272, 297, 304, 286]","[""'Apt Pupil (1998)"", ""'Good Will Hunting (1997)"", ""'Ulee's Gold (1997)"", ""'Fly Away Home (1996)"", ""'English Patient, The (1996)""]"
437,Female,Young (21-40 years),[],[]
563,Female,Young (21-40 years),"[204, 173, 202]","[""We will also take into account the user's ratings for the movies they have already watched. Here are the recommendations:"", '""Back to the Future"" (1985)', '""The Princess Bride"" (1987)', '""Ghostbusters"" (1984)', '""Groundhog Day"" (1993)', '""The Mask"" (1994)']"
609,Female,Teenager (0-20 years),"[294, 1, 304, 475, 313, 243, 352, 259, 285, 319, 901, 125, 408, 878, 314, 69, 1127, 173, 477, 272]","['Liar Liar (1997)', 'Toy Story (1995)', 'Fly Away Home (1996)', 'Trainspotting (1996)', 'Titanic (1997)', 'Jungle2Jungle (1997)', 'Spice World (1997)', 'George of the Jungle (1997)', 'Secrets & Lies (1996)', 'Everyone Says I Love You (1996)', 'Mr. Magoo (1997)', 'Phenomenon (1996)', 'Close Shave, A (1995)', 'That Darn Cat! (1997)', '3 Ninjas: High Noon At Mega Mountain (1998)', 'Forrest Gump (1994)', 'The Truman Show (1998)', 'The Princess Bride (1987)', 'Matilda (1996)', 'Good Will Hunting (1997)']"
660,Male,Young (21-40 years),[],[]
698,Female,Young (21-40 years),"[69, 64, 216, 202, 204]","[""We will also take into account the user's ratings for the movies they have already watched. Here are the recommendations:"", '""Forrest Gump"" (1994)', '""The Shawshank Redemption"" (1994)', '""When Harry Met Sally..."" (1989)', '""Groundhog Day"" (1993)', '""Back to the Future"" (1985)']"
760,Female,Young (21-40 years),"[216, 202, 88, 173, 155]","['Step 2: Filter movies based on preferred genres and years:', ""Step 3: Consider the user's ratings for previously watched movies:"", 'When Harry Met Sally... (1989)', 'Groundhog Day (1993)', 'Sleepless in Seattle (1993)', 'The Princess Bride (1987)', 'Dirty Dancing (1987)']"
764,Female,Young (21-40 years),"[1127, 56]","['""The Truman Show"" (1998)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""Pulp Fiction"" (1994)', '""The Grand Budapest Hotel"" (2014)', '""La La Land"" (2016)']"
766,Male,Adult (41-60 years),"[496, 514, 64, 202, 483]","[""We will also take into account the user's ratings for the movies they have already watched. Here are the recommendations:"", '""It\'s a Wonderful Life"" (1946)', '""Annie Hall"" (1977)', '""The Shawshank Redemption"" (1994)', '""Groundhog Day"" (1993)', '""Casablanca"" (1942)']"
920,Female,Young (21-40 years),"[405, 79, 22, 313, 64, 1585, 405, 79, 22, 313, 64, 1585, 405, 313, 405, 313]","[""Based on the user's preferences, the following movies fall into the preferred genres and release years:"", 'Mission: Impossible (1996)', 'The Fugitive (1993)', 'The Sixth Sense (1999)', 'The Matrix (1999)', 'Saving Private Ryan (1998)', 'Braveheart (1995)', 'Titanic (1997)', 'The Shawshank Redemption (1994)', 'Fight Club (1999)', 'American Beauty (1999)', 'Mission: Impossible (1996)', 'The Fugitive (1993)', 'The Sixth Sense (1999)', 'The Matrix (1999)', 'Saving Private Ryan (1998)', 'Braveheart (1995)', 'Titanic (1997)', 'The Shawshank Redemption (1994)', 'Fight Club (1999)', 'American Beauty (1999)', 'Mission: Impossible (1996)', 'Saving Private Ryan (1998)', 'Titanic (1997)', 'Mission: Impossible (1996)', 'Saving Private Ryan (1998)', 'Titanic (1997)']"
