userId,gender,age_group,recommendations,all_movies_rec
26,Male,Adult (41-60 years),"[56, 69, 64, 272]","['""Pulp Fiction"" (1994)', '""Forrest Gump"" (1994)', '""The Shawshank Redemption"" (1994)', '""Good Will Hunting"" (1997)', '""The Matrix"" (1999)', ""The selected movies have received widespread acclaim and align with the user's previous ratings for movies in similar genres and time periods.""]"
31,Male,Young (21-40 years),"[483, 318, 644, 48]","[""We will also take into account the user's ratings for the movies they have already watched. Here are the recommendations:"", '""Casablanca"" (1942)', '""Schindler\'s List"" (1993)', '""The Thin Blue Line"" (1988)', '""Eternal Sunshine of the Spotless Mind"" (2004)', '""Hoop Dreams"" (1994)']"
33,Male,Young (21-40 years),"[98, 1362]","['Step 2: Filter movies based on preferred genres and years:', 'Step 3: Calculate the average ratings for the filtered movies:', 'The Silence of the Lambs (1991)', 'American History X (1998)', 'The Sixth Sense (1999)', 'Fight Club (1999)', 'The Blair Witch Project (1999)']"
91,Male,Adult (41-60 years),"[64, 174, 204, 82, 482]","['The Shawshank Redemption (1994)', 'Raiders of the Lost Ark (1981)', 'Back to the Future (1985)', 'Jurassic Park (1993)', 'Some Like It Hot (1959)']"
97,Male,Adult (41-60 years),"[204, 64, 56, 173]","['""Back to the Future (1985)', '""The Shawshank Redemption (1994)', '""The Matrix (1999)', '""Pulp Fiction (1994)', '""The Princess Bride (1987)']"
106,Male,Adult (41-60 years),"[483, 64, 514, 275, 216]","[""We will also take into account the user's ratings for the movies they have already watched. Here are the recommendations:"", '""Casablanca"" (1942)', '""The Shawshank Redemption"" (1994)', '""Annie Hall"" (1977)', '""Sense and Sensibility"" (1995)', '""When Harry Met Sally..."" (1989)']"
116,Male,Young (21-40 years),"[483, 69, 56, 64, 216]","['Casablanca (1942)', 'Forrest Gump (1994)', 'Pulp Fiction (1994)', 'The Shawshank Redemption (1994)', 'When Harry Met Sally... (1989)']"
144,Male,Adult (41-60 years),[],[]
231,Male,Adult (41-60 years),"[64, 96, 313, 82, 22]","['The Shawshank Redemption (1994)', 'Terminator 2: Judgment Day (1991)', 'Titanic (1997)', 'Jurassic Park (1993)', 'Braveheart (1995)']"
253,Female,Young (21-40 years),"[69, 202, 216, 173, 64]","['""Forrest Gump"" (1994)', '""Groundhog Day"" (1993)', '""When Harry Met Sally..."" (1989)', '""The Princess Bride"" (1987)', '""The Shawshank Redemption"" (1994)']"
284,Male,Young (21-40 years),"[272, 302, 286, 315, 304]","['Step 2: Filter movies based on preferred genres and years:', '""Good Will Hunting"" (1997)', '""L.A. Confidential"" (1997)', '""The English Patient"" (1996)', '""Apt Pupil"" (1998)', '""Fly Away Home"" (1996)']"
437,Female,Young (21-40 years),[],[]
563,Female,Young (21-40 years),"[1, 216, 204, 393, 173]","['We will also avoid recommending movies that disproportionately favor or disfavor the user based on their gender_and_age.', 'This will narrow down the list of potential recommendations.', 'Toy Story (1995)', 'When Harry Met Sally... (1989)', 'Back to the Future (1985)', 'Mrs. Doubtfire (1993)', 'The Princess Bride (1987)']"
609,Female,Teenager (0-20 years),"[1127, 8, 316]","['Step 2: Filter movies based on preferred genres and years:', 'The Truman Show (1998)', 'Babe (1995)', 'Life is Beautiful (1997)', 'The Parent Trap (1998)', 'As Good as It Gets (1997)']"
660,Male,Young (21-40 years),[],[]
698,Female,Young (21-40 years),"[64, 216, 69, 173, 202]","[""We will also take into account the user's ratings for the movies they have already watched. Here are the recommendations:"", '""The Shawshank Redemption"" (1994)', ""3/10 on IMDb and is considered one of the greatest movies of all time. Given the user's preference for Drama, this movie is likely to be enjoyed."", '""When Harry Met Sally..."" (1989)', '""Forrest Gump"" (1994)', '8/10 on IMDb, it is highly regarded by both critics and audiences.', '""The Princess Bride"" (1987)', '""Groundhog Day"" (1993)']"
760,Female,Young (21-40 years),"[216, 88, 204, 173, 202]","['Step 2: Filter movies based on preferred genres and years:', 'When Harry Met Sally... (1989)', 'Sleepless in Seattle (1993)', 'Back to the Future (1985)', 'The Princess Bride (1987)', 'Groundhog Day (1993)']"
764,Female,Young (21-40 years),"[216, 173, 69]","['""When Harry Met Sally... (1989)', '""The Princess Bride (1987)', '""Forrest Gump (1994)', '""Eternal Sunshine of the Spotless Mind (2004)', '""La La Land (2016)']"
766,Male,Adult (41-60 years),"[496, 173, 64, 514, 204]","[""We will also take into account the user's ratings for the movies they have already watched. Here are the recommendations:"", '""It\'s a Wonderful Life"" (1946)', '""The Princess Bride"" (1987)', '""The Shawshank Redemption"" (1994)', '""Annie Hall"" (1977)', '""Back to the Future"" (1985)']"
920,Female,Young (21-40 years),"[79, 313]","['Step 2: Filter movies based on preferred genres and years:', 'The Fugitive (1993)', 'The Sixth Sense (1999)', 'Titanic (1997)', 'Saving Private Ryan (1998)', 'The Matrix (1999)']"
